Year,Units,Category,Value
2010,total,Broj ljekara,1260.0
2011,total,Broj ljekara,1241.0
2012,total,Broj ljekara,1257.0
2013,total,Broj ljekara,1326.0
2014,total,Broj ljekara,1350.0
2015,total,Broj ljekara,1466.0
2016,total,Broj ljekara,1589.0
2017,total,Broj ljekara,1650.0
2018,total,Broj ljekara,1720.0
2019,total,Broj ljekara,1708.0
2020,total,Broj ljekara,1721.0
2010,total,Broj medicinskih sestara i babica,3298.0
2011,total,Broj medicinskih sestara i babica,3204.0
2012,total,Broj medicinskih sestara i babica,3090.0
2013,total,Broj medicinskih sestara i babica,3377.0
2014,total,Broj medicinskih sestara i babica,3413.0
2015,total,Broj medicinskih sestara i babica,3352.0
2016,total,Broj medicinskih sestara i babica,3410.0
2017,total,Broj medicinskih sestara i babica,3200.0
2018,total,Broj medicinskih sestara i babica,3283.0
2019,total,Broj medicinskih sestara i babica,3302.0
2020,total,Broj medicinskih sestara i babica,3374.0
2010,total,Broj stomatološkog osoblja,26.0
2011,total,Broj stomatološkog osoblja,24.0
2012,total,Broj stomatološkog osoblja,25.0
2013,total,Broj stomatološkog osoblja,25.0
2014,total,Broj stomatološkog osoblja,25.0
2015,total,Broj stomatološkog osoblja,25.0
2016,total,Broj stomatološkog osoblja,30.0
2017,total,Broj stomatološkog osoblja,29.0
2018,total,Broj stomatološkog osoblja,29.0
2019,total,Broj stomatološkog osoblja,32.0
2020,total,Broj stomatološkog osoblja,31.0
2010,total,Broj farmaceutskog osoblja,91.0
2011,total,Broj farmaceutskog osoblja,92.0
2012,total,Broj farmaceutskog osoblja,93.0
2013,total,Broj farmaceutskog osoblja,105.0
2014,total,Broj farmaceutskog osoblja,106.0
2015,total,Broj farmaceutskog osoblja,109.0
2016,total,Broj farmaceutskog osoblja,108.0
2017,total,Broj farmaceutskog osoblja,109.0
2018,total,Broj farmaceutskog osoblja,120.0
2019,total,Broj farmaceutskog osoblja,127.0
2020,total,Broj farmaceutskog osoblja,143.0
2010,total,Populacija,619428.0
2011,total,Populacija,620029.0
2012,total,Populacija,620029.0
2013,total,Populacija,620029.0
2014,total,Populacija,620029.0
2015,total,Populacija,620029.0
2016,total,Populacija,620029.0
2017,total,Populacija,620029.0
2018,total,Populacija,620029.0
2019,total,Populacija,620029.0
2020,total,Populacija,620029.0
2010,per_1000_population,Gustina ljekara,203.41
2011,per_1000_population,Gustina ljekara,200.15
2012,per_1000_population,Gustina ljekara,202.73
2013,per_1000_population,Gustina ljekara,213.86
2014,per_1000_population,Gustina ljekara,217.73
2015,per_1000_population,Gustina ljekara,236.44
2016,per_1000_population,Gustina ljekara,256.28
2017,per_1000_population,Gustina ljekara,266.12
2018,per_1000_population,Gustina ljekara,277.41
2019,per_1000_population,Gustina ljekara,275.47
2020,per_1000_population,Gustina ljekara,277.57
2010,per_1000_population,Gustina medicinskih sestara i babica,532.43
2011,per_1000_population,Gustina medicinskih sestara i babica,516.75
2012,per_1000_population,Gustina medicinskih sestara i babica,498.36
2013,per_1000_population,Gustina medicinskih sestara i babica,544.65
2014,per_1000_population,Gustina medicinskih sestara i babica,550.46
2015,per_1000_population,Gustina medicinskih sestara i babica,540.62
2016,per_1000_population,Gustina medicinskih sestara i babica,549.97
2017,per_1000_population,Gustina medicinskih sestara i babica,516.1
2018,per_1000_population,Gustina medicinskih sestara i babica,529.49
2019,per_1000_population,Gustina medicinskih sestara i babica,532.56
2020,per_1000_population,Gustina medicinskih sestara i babica,544.17
2010,per_1000_population,Gustina stomatološkog osoblja,4.2
2011,per_1000_population,Gustina stomatološkog osoblja,3.87
2012,per_1000_population,Gustina stomatološkog osoblja,4.03
2013,per_1000_population,Gustina stomatološkog osoblja,4.03
2014,per_1000_population,Gustina stomatološkog osoblja,4.03
2015,per_1000_population,Gustina stomatološkog osoblja,4.03
2016,per_1000_population,Gustina stomatološkog osoblja,4.84
2017,per_1000_population,Gustina stomatološkog osoblja,4.68
2018,per_1000_population,Gustina stomatološkog osoblja,4.68
2019,per_1000_population,Gustina stomatološkog osoblja,5.16
2020,per_1000_population,Gustina stomatološkog osoblja,5.0
2010,per_1000_population,Gustina farmaceutskog osoblja,14.69
2011,per_1000_population,Gustina farmaceutskog osoblja,14.84
2012,per_1000_population,Gustina farmaceutskog osoblja,15.0
2013,per_1000_population,Gustina farmaceutskog osoblja,16.93
2014,per_1000_population,Gustina farmaceutskog osoblja,17.1
2015,per_1000_population,Gustina farmaceutskog osoblja,17.58
2016,per_1000_population,Gustina farmaceutskog osoblja,17.42
2017,per_1000_population,Gustina farmaceutskog osoblja,17.58
2018,per_1000_population,Gustina farmaceutskog osoblja,19.35
2019,per_1000_population,Gustina farmaceutskog osoblja,20.48
2020,per_1000_population,Gustina farmaceutskog osoblja,23.06
