Year,Units,Value
1885,million_tonnes,446
1890,million_tonnes,1337
1891,million_tonnes,1560
1892,million_tonnes,1727
1893,million_tonnes,3064
1894,million_tonnes,5849
1895,million_tonnes,5849
1896,million_tonnes,6518
1897,million_tonnes,5069
1898,million_tonnes,7688
1899,million_tonnes,8969
1900,million_tonnes,12144
1901,million_tonnes,13258
1902,million_tonnes,12423
1903,million_tonnes,13481
1904,million_tonnes,14373
1905,million_tonnes,15598
1906,million_tonnes,18662
1907,million_tonnes,18996
1908,million_tonnes,20445
1909,million_tonnes,21002
1910,million_tonnes,20779
1911,million_tonnes,22506
1912,million_tonnes,23063
1913,million_tonnes,63340
1919,million_tonnes,45402
1920,million_tonnes,60276
1921,million_tonnes,64175.004
1922,million_tonnes,93255
1923,million_tonnes,101722
1924,million_tonnes,104285
1925,million_tonnes,114479
1926,million_tonnes,111471
1927,million_tonnes,125955
1928,million_tonnes,143057
1929,million_tonnes,156037
1930,million_tonnes,146846
1931,million_tonnes,135704
1932,million_tonnes,123727
1933,million_tonnes,114479
1934,million_tonnes,119159
1935,million_tonnes,124730
1936,million_tonnes,123003
1937,million_tonnes,137041
1938,million_tonnes,129798.99
1939,million_tonnes,136205
1940,million_tonnes,156650
1943,million_tonnes,5738
1944,million_tonnes,1393
1945,million_tonnes,79161
1946,million_tonnes,156427
1947,million_tonnes,217650
1948,million_tonnes,245337
1949,million_tonnes,280266
1950,million_tonnes,269235
1951,million_tonnes,254863
1952,million_tonnes,255921
1953,million_tonnes,254139
1954,million_tonnes,303161
1955,million_tonnes,347171
1956,million_tonnes,396918
1957,million_tonnes,431011
1958,million_tonnes,424771
1959,million_tonnes,486941
1960,million_tonnes,531897
1961,million_tonnes,557523
1962,million_tonnes,572118
1963,million_tonnes,636461
1964,million_tonnes,721081
1965,million_tonnes,741915
1966,million_tonnes,735175
1967,million_tonnes,742584
1968,million_tonnes,794225
1969,million_tonnes,823472
1970,million_tonnes,1076106
1971,million_tonnes,1159779
1972,million_tonnes,1087025
1973,million_tonnes,1298547
1974,million_tonnes,1304229
1975,million_tonnes,1360884
1976,million_tonnes,1404615
1977,million_tonnes,1365953
1978,million_tonnes,1526447
1979,million_tonnes,1660313
1980,million_tonnes,1632626
1981,million_tonnes,1776798
1982,million_tonnes,1632348
1983,million_tonnes,1757746
1984,million_tonnes,1853675
1985,million_tonnes,1890887
1986,million_tonnes,1974783
1987,million_tonnes,1927989
1988,million_tonnes,1989434
1989,million_tonnes,1983362
1990,million_tonnes,1962026
1991,million_tonnes,1388069
1992,million_tonnes,1483274
1993,million_tonnes,1293620
1994,million_tonnes,1256653
1995,million_tonnes,1327336
1996,million_tonnes,1552994
1997,million_tonnes,1669797
1998,million_tonnes,1757580
1999,million_tonnes,1211858
2000,million_tonnes,1520843
2001,million_tonnes,1667268
2002,million_tonnes,1766249
2003,million_tonnes,1889193
2004,million_tonnes,2041277.9
2005,million_tonnes,1750836
2006,million_tonnes,2062832.1
2007,million_tonnes,2055504.1
2008,million_tonnes,2605104
2009,million_tonnes,1681776
2010,million_tonnes,2421904
2011,million_tonnes,2407248
2012,million_tonnes,2213056
2013,million_tonnes,2150768
2014,million_tonnes,2106800
2015,million_tonnes,2238704
2016,million_tonnes,2015199.9
2017,million_tonnes,2103136
2018,million_tonnes,2399920
2019,million_tonnes,2476864
2020,million_tonnes,2407248
2021,million_tonnes,2304752
2022,million_tonnes,2292498
