Year,Census,Register,Units,Value
2011,population_census,,yes_no,1
2010,,register_of_births,%,99.97
2011,,register_of_births,%,100
2012,,register_of_births,%,100
2013,,register_of_births,%,100
2014,,register_of_births,%,100
2015,,register_of_births,%,100
2016,,register_of_births,%,100
2017,,register_of_births,%,100
2018,,register_of_births,%,100
2019,,register_of_births,%,100
2020,,register_of_births,%,100
2021,,register_of_births,%,100
2010,,register_of_deaths,%,100
2011,,register_of_deaths,%,100
2012,,register_of_deaths,%,100
2013,,register_of_deaths,%,100
2014,,register_of_deaths,%,100
2015,,register_of_deaths,%,100
2016,,register_of_deaths,%,100
2017,,register_of_deaths,%,100
2018,,register_of_deaths,%,100
2019,,register_of_deaths,%,100
2020,,register_of_deaths,%,100
2021,,register_of_deaths,%,100
