Year,Units,Category,Economic class,Size class,LSU class,Value
2010,total,total,number_of_farms,,,48824
2010,total,total,economic_class_less_2000,,,31569
2010,total,total,economic_class_2000_4000,,,9526
2010,total,total,economic_class_4000_8000,,,5277
2010,total,total,economic_class_8000_15000,,,1832
2010,total,total,economic_class_15000_25000,,,441
2010,total,total,economic_class_more_25000,,,179
2010,total,less_1_gjr,number_of_farms,,,28987
2010,total,less_1_gjr,economic_class_less_2000,,,23640
2010,total,less_1_gjr,economic_class_2000_4000,,,3736
2010,total,less_1_gjr,economic_class_4000_8000,,,1245
2010,total,less_1_gjr,economic_class_8000_15000,,,276
2010,total,less_1_gjr,economic_class_15000_25000,,,57
2010,total,less_1_gjr,economic_class_more_25000,,,33
2010,total,1_2_gjr,number_of_farms,,,12743
2010,total,1_2_gjr,economic_class_less_2000,,,6118
2010,total,1_2_gjr,economic_class_2000_4000,,,3770
2010,total,1_2_gjr,economic_class_4000_8000,,,2065
2010,total,1_2_gjr,economic_class_8000_15000,,,615
2010,total,1_2_gjr,economic_class_15000_25000,,,117
2010,total,1_2_gjr,economic_class_more_25000,,,58
2010,total,2_3_gjr,number_of_farms,,,5459
2010,total,2_3_gjr,economic_class_less_2000,,,1536
2010,total,2_3_gjr,economic_class_2000_4000,,,1652
2010,total,2_3_gjr,economic_class_4000_8000,,,1469
2010,total,2_3_gjr,economic_class_8000_15000,,,608
2010,total,2_3_gjr,economic_class_15000_25000,,,149
2010,total,2_3_gjr,economic_class_more_25000,,,45
2010,total,more_3_gjr,number_of_farms,,,1635
2010,total,more_3_gjr,economic_class_less_2000,,,275
2010,total,more_3_gjr,economic_class_2000_4000,,,368
2010,total,more_3_gjr,economic_class_4000_8000,,,498
2010,total,more_3_gjr,economic_class_8000_15000,,,333
2010,total,more_3_gjr,economic_class_15000_25000,,,118
2010,total,more_3_gjr,economic_class_more_25000,,,43
2016,total,farms_spg_2016,,without_land,,311
2016,total,farms_spg_2016,,size_class_less_0.10,,1560
2016,total,farms_spg_2016,,size_class_0.10_0.50,,10590
2016,total,farms_spg_2016,,size_class_0.50_1.00,,5815
2016,total,farms_spg_2016,,size_class_1.00_2.00,,7363
2016,total,farms_spg_2016,,size_class_2.00_3.00,,3895
2016,total,farms_spg_2016,,size_class_3.00_4.00,,2511
2016,total,farms_spg_2016,,size_class_4.00_5.00,,1600
2016,total,farms_spg_2016,,size_class_5.00_6.00,,1462
2016,total,farms_spg_2016,,size_class_6.00_8.00,,2164
2016,total,farms_spg_2016,,size_class_8.00_10.00,,1082
2016,total,farms_spg_2016,,size_class_10.00_15.00,,1584
2016,total,farms_spg_2016,,size_class_15.00_20.00,,1042
2016,total,farms_spg_2016,,size_class_20.00_30.00,,1029
2016,total,farms_spg_2016,,size_class_30.00_50.00,,900
2016,total,farms_spg_2016,,size_class_50.00_100.00,,587
2016,total,farms_spg_2016,,size_class_more_100.00,,296
2010,total,farms_pp_2010,,without_land,,593
2010,total,farms_pp_2010,,size_class_less_0.10,,2515
2010,total,farms_pp_2010,,size_class_0.10_0.50,,15418
2010,total,farms_pp_2010,,size_class_0.50_1.00,,8467
2010,total,farms_pp_2010,,size_class_1.00_2.00,,8867
2010,total,farms_pp_2010,,size_class_2.00_3.00,,4081
2010,total,farms_pp_2010,,size_class_3.00_4.00,,2258
2010,total,farms_pp_2010,,size_class_4.00_5.00,,1288
2010,total,farms_pp_2010,,size_class_5.00_6.00,,1057
2010,total,farms_pp_2010,,size_class_6.00_8.00,,1067
2010,total,farms_pp_2010,,size_class_8.00_10.00,,588
2010,total,farms_pp_2010,,size_class_10.00_15.00,,815
2010,total,farms_pp_2010,,size_class_15.00_20.00,,342
2010,total,farms_pp_2010,,size_class_20.00_30.00,,329
2010,total,farms_pp_2010,,size_class_30.00_50.00,,313
2010,total,farms_pp_2010,,size_class_50.00_100.00,,441
2010,total,farms_pp_2010,,size_class_more_100.00,,431
2010,total,,,,farms,32675
2010,total,,,,lsu,117753.1
2010,total,family_agriculture,,,farms,32656
2010,total,family_agriculture,,,lsu,112861.9
2010,total,companies,,,farms,19
2010,total,companies,,,lsu,4891.2
