Year,Units,Value
2010,total_infected,23
2011,total_infected,24
2012,total_infected,25
2013,total_infected,26
2014,total_infected,27
2015,total_infected,27
2016,total_infected,26
2017,total_infected,25
2018,total_infected,24
2019,total_infected,22
2020,total_infected,20
2021,total_infected,18
2022,total_infected,15
2010,per_1000_uninfected_population,0.04
2011,per_1000_uninfected_population,0.04
2012,per_1000_uninfected_population,0.04
2013,per_1000_uninfected_population,0.04
2014,per_1000_uninfected_population,0.04
2015,per_1000_uninfected_population,0.04
2016,per_1000_uninfected_population,0.04
2017,per_1000_uninfected_population,0.04
2018,per_1000_uninfected_population,0.04
2019,per_1000_uninfected_population,0.03
2020,per_1000_uninfected_population,0.03
2021,per_1000_uninfected_population,0.03
2022,per_1000_uninfected_population,0.02
