Value,Disaggregation combinations using this value,Number of indicators
adults_15,1,1
advanced_spread_sheets,2,1
air_traffic,1,1
atms,2,1
branches_of_commercial_banks,2,1
cat_b,1,1
cat_c,1,1
cat_d,1,1
cat_e,1,1
change_settings,2,1
collected_waste,21,1
copy_files,2,1
install_software,2,1
manufacturing_value,2,1
maritime_traffic,1,1
maths,6,1
photos,2,1
presentations,2,1
processed_waste,21,1
produced_waste,21,1
programming,2,1
railway_traffic,1,1
reading,6,1
road_traffic,1,1
spread_sheets,2,1
teacher_class_1,1,1
teacher_class_2,1,1
total,1,1
transfer_files,2,1
word_processing,2,1
